FSA,CUSTOMER_TYPE,HOUR,DATE,TOTAL_CONSUMPTION
L9G,Residential,5,2018-12-29,5743.5
L9G,Residential,5,2018-12-30,6319.4
L9G,Residential,5,2018-12-31,6240.9
L9G,Residential,6,2018-10-01,6212.1
L9G,Residential,6,2018-10-02,6308.8
L9G,Residential,6,2018-10-03,6119.2
L9G,Residential,6,2018-10-04,5961.8
L9G,Residential,6,2018-10-05,6049.9
L9G,Residential,6,2018-10-06,5569.6
L9G,Residential,6,2018-10-07,5233.2
L9G,Residential,6,2018-10-08,5210.9
L9G,Residential,6,2018-10-09,5944.4
L9G,Residential,6,2018-10-10,6317.4
L9G,Residential,6,2018-10-11,6640.6
L9G,Residential,6,2018-10-12,5926.4
L9G,Residential,6,2018-10-13,5580.4
L9G,Residential,6,2018-10-14,5595.6
L9G,Residential,6,2018-10-15,6206.5
L9G,Residential,6,2018-10-16,6725.5
L9G,Residential,6,2018-10-17,6272.4
L9G,Residential,6,2018-10-18,6757.5
L9G,Residential,6,2018-10-19,6422.2
L9G,Residential,6,2018-10-20,5940.5
L9G,Residential,6,2018-10-21,5749.9
L9G,Residential,6,2018-10-22,6435.2
L9G,Residential,6,2018-10-23,6336.8
L9G,Residential,6,2018-10-24,6567.0
L9G,Residential,6,2018-10-25,6611.4
L9G,Residential,6,2018-10-26,6446.5
L9G,Residential,6,2018-10-27,5921.6
L9G,Residential,6,2018-10-28,5926.6
L9G,Residential,6,2018-10-29,6483.2
L9G,Residential,6,2018-10-30,6701.8
L9G,Residential,6,2018-10-31,6131.3
L9G,Residential,6,2018-11-01,6212.6
L9G,Residential,6,2018-11-02,6515.0
L9G,Residential,6,2018-11-03,5925.2
L9G,Residential,6,2018-11-04,5856.6
L9G,Residential,6,2018-11-05,5693.0
L9G,Residential,6,2018-11-06,5341.6
L9G,Residential,6,2018-11-07,5515.0
L9G,Residential,6,2018-11-08,5763.6
L9G,Residential,6,2018-11-09,5773.0
L9G,Residential,6,2018-11-10,6060.6
L9G,Residential,6,2018-11-11,5893.0
L9G,Residential,6,2018-11-12,5947.1
L9G,Residential,6,2018-11-13,5869.0
L9G,Residential,6,2018-11-14,6376.3
L9G,Residential,6,2018-11-15,6502.5
L9G,Residential,6,2018-11-16,6155.7
L9G,Residential,6,2018-11-17,5902.1
L9G,Residential,6,2018-11-18,5922.9
L9G,Residential,6,2018-11-19,6349.0
L9G,Residential,6,2018-11-20,6271.1
L9G,Residential,6,2018-11-21,6449.4
L9G,Residential,6,2018-11-22,7211.7
L9G,Residential,6,2018-11-23,6889.2
L9G,Residential,6,2018-11-24,6073.1
L9G,Residential,6,2018-11-25,5493.2
L9G,Residential,6,2018-11-26,5969.6
L9G,Residential,6,2018-11-27,6244.8
L9G,Residential,6,2018-11-28,6514.9
L9G,Residential,6,2018-11-29,6392.0
L9G,Residential,6,2018-11-30,6283.5
L9G,Residential,6,2018-12-01,6022.9
L9G,Residential,6,2018-12-02,5784.1
L9G,Residential,6,2018-12-03,6601.9
L9G,Residential,6,2018-12-04,6587.7
L9G,Residential,6,2018-12-05,6964.0
L9G,Residential,6,2018-12-06,6736.1
L9G,Residential,6,2018-12-07,6895.0
L9G,Residential,6,2018-12-08,6623.2
L9G,Residential,6,2018-12-09,6651.7
L9G,Residential,6,2018-12-10,6775.8
L9G,Residential,6,2018-12-11,6776.3
L9G,Residential,6,2018-12-12,6775.1
L9G,Residential,6,2018-12-13,6603.4
L9G,Residential,6,2018-12-14,6558.4
L9G,Residential,6,2018-12-15,6059.6
L9G,Residential,6,2018-12-16,5987.5
L9G,Residential,6,2018-12-17,6422.6
L9G,Residential,6,2018-12-18,6790.7
L9G,Residential,6,2018-12-19,6963.4
L9G,Residential,6,2018-12-20,6576.8
L9G,Residential,6,2018-12-21,6369.4
L9G,Residential,6,2018-12-22,6683.7
L9G,Residential,6,2018-12-23,6674.5
