TOTAL_CONSUMPTION_API,TOTAL_CONSUMPTION_ORIG
8833.300000000001,9802.6
8412.5,10478.2
9693.5,10777.7
7301.900000000001,10658.3
6891.3,10295.6
7580,9073.7
9133.699999999999,7699.3
8908,6697.2
10822,6165.7
11878.1,6013.9
12008.4,5912.5
10720.5,5969.3
9637.8,6414.4
8029.099999999999,7215.1
7548.3,8140.1
8265,8011.4
8742.5,7678.9
12210.9,7514.4
12077.1,7558.1
7634.5,7606.2
7567.3,7579.9
7698,7485
8182.200000000001,7780.8
7630.6,8571.8
8210.5,9457
9647.699999999999,10100.1
10448.1,10182.4
10632.3,9876.1
8725.6,9370.1
7823.2,8561.9
9474.5,7384.1
10912.099999999999,6791.9
9391.6,6263.7
8092.1,5896.4
8545.5,5768.7
9075.4,5767.9
9150.3,6026.2
10013.7,6435.1
10232.7,7469.5
8896.2,8392.6
8709.4,8758.3
9156.800000000001,8886
7655,9334.9
8077.400000000001,9403.4
7525.4,9256.1
7894.7,9217.2
8387.1,9250.1
8795.7,9612.2
9555.9,10396.1
10420,10982.9
10050.900000000001,10802.2
10259.6,10688.1
13245.7,10072.5
11166.199999999999,9235.4
10921.800000000001,8122
10883.9,6990.1
9932.4,6361.2
8111.3,6111.4
7879.1,5905.1
8782.5,5840.9
9717.6,6003.7
10287.3,6344.6
10570,7058
11273.099999999999,7898.3
10369.4,8331.5
11858.5,8322.4
11418.1,8557.5
12404.4,8686.6
10990.9,8548.7
10495,8451
9848.5,8427.3
11252.2,9142.5
11464.300000000001,10350.7
9405.1,11258.7
8391.9,11321.4
7644.4,11027.6
7237.7,10219.2
7627.6,8878.3
8182.9,7287
8089.200000000001,6204.1
7349.9,5740.9
7932.4,5613
7624.4,5535.6
7120.799999999999,5645
7213.1,6193
8464.199999999999,7121.4
7649.900000000001,7881.6
7153.3,7202.4
8823.4,6780.2
7232,6561
7281.7,6552.1
8402.2,6541.5
7338.6,6360.6
6803.599999999999,6287.7
7609.900000000001,6564.4
7559.4,7405.4
6541.2,8735.6
6452.400000000001,9850.9
6590.8,10305.4
6564.700000000001,10288.2
6262.3,9654.3
6750.7,8456.2
6174,7076.2
6162,6112.7
6167.3,5700.7
6340.599999999999,5532.9
6685.400000000001,5509.7
6554.099999999999,5667.2
6039.8,6168
6064.5,7057.4
6068.200000000001,7868.5
6152.7,7225.9
6400.5,6611.2
6609.3,6311.3
6615,6196.4
6698.2,6137.1
6410.1,5963.9
6083.5,5945.7
6613.2,6171.1
6322.1,7155.7
6150.599999999999,8477.4
5878.5,9440.6
5897,10003.3
5669.700000000001,9835.6
5642.099999999999,9310.5
5767.8,8137.9
6238.5,6751
6303.8,5867.9
5930.599999999999,5435.5
6180.5,5280.9
5993.2,5195.4
5855.2,5360.1
5960,5893.8
6235.299999999999,6826.2
6219.7,7695.2
5848.4,7157.6
6127.8,6429.5
6287.6,6070.1
6357.3,6082.2
6435,5978
6584.299999999999,5947.1
6452.200000000001,5836.5
6275.7,6059.5
5939.9,6816.3
6069.1,8094.5
6394.5,9040.2
6254.5,9591.6
6691.900000000001,9578.2
7052,9020.1
6914,8020.9
