YEAR,MONTH,DAY,HOUR,TOTAL_CONSUMPTION
2018,1,31,10,8546.2
2018,1,31,11,8369.3
2018,1,31,12,8237.7
2018,1,31,13,8137.4
2018,1,31,14,7953.6
2018,1,31,15,7708.9
2018,1,31,16,7922.5
2018,1,31,17,9057.0
2018,1,31,18,10867.8
2018,1,31,19,11382.4
2018,1,31,20,11364.7
2018,1,31,21,11080.6
2018,1,31,22,10449.5
2018,1,31,23,9249.4
2018,1,31,24,7797.5
2018,2,1,1,6797.3
2018,2,1,2,6312.7
2018,2,1,3,6026.8
2018,2,1,4,5958.3
2018,2,1,5,6154.1
2018,2,1,6,6663.5
2018,2,1,7,7518.5
2018,2,1,8,8373.8
2018,2,1,9,7942.2
2018,2,1,10,7435.6
2018,2,1,11,7090.2
2018,2,1,12,6983.8
2018,2,1,13,6980.4
2018,2,1,14,7134.6
2018,2,1,15,7335.2
2018,2,1,16,8049.3
2018,2,1,17,9162.4
2018,2,1,18,10418.3
2018,2,1,19,11139.5
2018,2,1,20,11338.4
2018,2,1,21,11221.7
2018,2,1,22,10811.6
2018,2,1,23,9577.3
2018,2,1,24,8183.0
2018,2,2,1,7252.1
2018,2,2,2,6771.4
2018,2,2,3,6682.7
2018,2,2,4,6714.5
2018,2,2,5,6901.7
2018,2,2,6,7357.6
2018,2,2,7,8280.7
2018,2,2,8,9277.1
2018,2,2,9,8872.1
2018,2,2,10,8341.1
2018,2,2,11,8083.5
2018,2,2,12,7934.4
2018,2,2,13,7950.8
2018,2,2,14,7897.5
2018,2,2,15,7934.0
2018,2,2,16,8254.9
2018,2,2,17,9368.1
2018,2,2,18,10983.3
2018,2,2,19,11728.9
2018,2,2,20,11612.7
2018,2,2,21,11534.1
2018,2,2,22,11021.6
2018,2,2,23,10042.4
2018,2,2,24,8842.6
2018,2,3,1,7947.9
2018,2,3,2,7380.9
2018,2,3,3,7210.4
2018,2,3,4,7098.0
2018,2,3,5,7141.9
2018,2,3,6,7360.0
2018,2,3,7,7870.6
2018,2,3,8,8670.1
2018,2,3,9,9507.3
2018,2,3,10,9892.8
2018,2,3,11,9978.0
2018,2,3,12,10091.1
2018,2,3,13,10460.6
2018,2,3,14,10100.4
2018,2,3,15,10117.9
2018,2,3,16,10343.3
2018,2,3,17,10688.8
2018,2,3,18,11902.0
2018,2,3,19,12455.0
2018,2,3,20,11990.2
2018,2,3,21,11533.1
2018,2,3,22,10795.6
2018,2,3,23,9786.9
2018,2,3,24,8672.9
2018,2,4,1,7676.2
2018,2,4,2,7021.9
2018,2,4,3,6615.1
2018,2,4,4,6361.3
2018,2,4,5,6410.3
2018,2,4,6,6532.1
2018,2,4,7,6868.6
2018,2,4,8,7582.7
2018,2,4,9,8496.0
2018,2,4,10,9030.1
2018,2,4,11,9312.0
2018,2,4,12,9775.9
2018,2,4,13,9938.6
2018,2,4,14,9926.9
2018,2,4,15,10021.5
2018,2,4,16,10475.1
2018,2,4,17,11389.8
2018,2,4,18,12624.2
2018,2,4,19,12715.1
2018,2,4,20,12097.6
2018,2,4,21,11655.4
2018,2,4,22,11134.8
2018,2,4,23,10077.1
2018,2,4,24,8539.4
2018,2,5,1,7255.5
2018,2,5,2,6743.8
2018,2,5,3,6552.0
2018,2,5,4,6533.1
2018,2,5,5,6666.3
2018,2,5,6,7238.0
2018,2,5,7,8151.5
2018,2,5,8,9154.5
2018,2,5,9,8635.1
2018,2,5,10,8240.6
2018,2,5,11,8113.8
2018,2,5,12,8082.0
2018,2,5,13,7884.2
2018,2,5,14,7806.5
2018,2,5,15,7755.1
2018,2,5,16,8238.4
2018,2,5,17,9576.8
2018,2,5,18,11305.9
2018,2,5,19,11981.1
2018,2,5,20,12124.9
2018,2,5,21,11793.9
2018,2,5,22,10963.6
2018,2,5,23,9680.4
2018,2,5,24,8265.4
2018,2,6,1,7311.2
2018,2,6,2,6904.2
2018,2,6,3,6689.9
2018,2,6,4,6634.9
2018,2,6,5,6801.9
2018,2,6,6,7308.9
2018,2,6,7,8216.5
2018,2,6,8,9114.8
2018,2,6,9,8535.2
2018,2,6,10,7974.6
2018,2,6,11,7765.4
2018,2,6,12,7629.8
2018,2,6,13,7544.3
2018,2,6,14,7350.3
2018,2,6,15,7306.7
2018,2,6,16,7708.6
2018,2,6,17,8922.8
2018,2,6,18,10672.7
2018,2,6,19,11555.6
2018,2,6,20,11824.3
2018,2,6,21,11762.2
2018,2,6,22,11063.9
2018,2,6,23,9837.7
2018,2,6,24,8361.2
2018,2,7,1,7359.5
2018,2,7,2,6947.1
2018,2,7,3,6713.7
2018,2,7,4,6678.8
2018,2,7,5,6789.9
2018,2,7,6,7269.1
2018,2,7,7,8210.4
2018,2,7,8,9116.5
2018,2,7,9,8705.7
2018,2,7,10,8409.0
2018,2,7,11,8364.1
2018,2,7,12,8360.9
2018,2,7,13,8200.2
2018,2,7,14,7824.5
2018,2,7,15,7908.0
2018,2,7,16,8176.9
2018,2,7,17,9063.0
2018,2,7,18,10671.8
2018,2,7,19,11658.2
2018,2,7,20,11748.9
2018,2,7,21,11602.5
2018,2,7,22,10925.9
2018,2,7,23,9748.0
2018,2,7,24,8248.1
2018,2,8,1,7335.4
2018,2,8,2,6943.0
2018,2,8,3,6804.3
2018,2,8,4,6799.4
2018,2,8,5,6925.4
2018,2,8,6,7467.4
2018,2,8,7,8489.6
2018,2,8,8,9362.8
2018,2,8,9,8732.7
2018,2,8,10,8146.3
2018,2,8,11,7992.8
2018,2,8,12,7749.5
2018,2,8,13,7767.2
2018,2,8,14,7693.0
2018,2,8,15,7787.1
2018,2,8,16,8288.3
2018,2,8,17,9210.1
2018,2,8,18,10557.6
2018,2,8,19,11444.7
2018,2,8,20,11590.9
2018,2,8,21,11586.0
2018,2,8,22,10993.4
2018,2,8,23,9703.1
2018,2,8,24,8290.2
2018,2,9,1,7342.4
2018,2,9,2,6913.3
2018,2,9,3,6735.6
2018,2,9,4,6651.0
2018,2,9,5,6834.9
2018,2,9,6,7278.8
2018,2,9,7,8186.3
2018,2,9,8,9102.6
2018,2,9,9,8765.0
2018,2,9,10,8356.5
2018,2,9,11,8250.5
2018,2,9,12,8165.5
2018,2,9,13,8108.6
2018,2,9,14,7930.4
2018,2,9,15,8146.0
2018,2,9,16,8573.7
2018,2,9,17,9352.2
2018,2,9,18,10770.1
2018,2,9,19,11421.1
2018,2,9,20,11310.6
2018,2,9,21,11084.9
2018,2,9,22,10505.5
2018,2,9,23,9569.7
2018,2,9,24,8267.2
2018,2,10,1,7410.5
2018,2,10,2,6832.3
2018,2,10,3,6504.8
2018,2,10,4,6393.7
2018,2,10,5,6373.4
2018,2,10,6,6616.2
2018,2,10,7,7142.0
2018,2,10,8,7984.7
2018,2,10,9,8807.6
2018,2,10,10,9421.7
2018,2,10,11,9704.6
2018,2,10,12,9977.5
2018,2,10,13,10364.6
2018,2,10,14,10219.2
2018,2,10,15,10201.5
2018,2,10,16,10277.5
2018,2,10,17,10760.0
2018,2,10,18,11809.0
2018,2,10,19,12201.5
2018,2,10,20,11779.7
2018,2,10,21,11148.2
2018,2,10,22,10609.7
2018,2,10,23,9717.4
